group	n_subj	prepost	eta_DMN	eta_Vis	eta_LCN	eta_BF	eta_HPF	eta_Th	g	tag
ACA	3	post	-4.181004125244764	-4.931627716336932	-3.6116369695079573	-3.7041077613830566	-3.856421402522496	-3.753823367916808	0.4752248416141588	46
ACA	3	pre	-4.515665141903624	-4.724651190699364	-3.6153248572836114	-3.754776244260827	-4.287899893157336	-3.907638345445905	0.5683296152523586	47
ACA	3	post	-4.06258241984309	-4.887649205266213	-3.579707554408482	-3.7039977336416436	-3.755324227469308	-3.6529020679240323	0.4683424137076553	47
ACA	3	pre	-4.382757858354218	-4.927484955106463	-3.5730507714407787	-3.704078893272244	-4.202942746026175	-3.8029918427370033	0.545351682877054	48
ACA	3	post	-3.9979540279933383	-4.879971776689802	-3.569873182141051	-3.75529129651128	-3.8569825036185126	-3.6465802679256516	0.4860028928639938	48
ACA	3	pre	-4.3270964476527	-4.878168028228137	-3.57760764141472	-3.7550206768269443	-4.058669031882773	-3.7490521255804565	0.5340320394963635	49
ACA	3	post	-3.9665163293176766	-4.828380579851111	-3.58361892797509	-3.7041111381686465	-3.805849075317383	-3.650269333197146	0.44739583134651184	49
ACA	3	pre	-4.408445601560631	-4.724189704778243	-3.5922727244240895	-3.7552348934874242	-4.0323127240550765	-3.8035665580204556	0.5151287414589707	50
ACA	3	post	-3.9817128522055487	-4.934657743998937	-3.5735415487873308	-3.70426623675288	-3.8562539645603726	-3.643084467673788	0.4619923246150114	50
ACA	3	pre	-4.511679702875566	-4.8270474599332225	-3.6154221709893672	-3.9593887621042683	-4.385784893619771	-3.8543576513017928	0.5699657262588034	51
ACA	3	post	-4.207343568607253	-4.876694543021066	-3.618422167641776	-3.704094954899379	-3.8558929307120184	-3.949237210409982	0.457025947011247	51
ACA	5	pre	-4.286967258064115	-5.0328189110269355	-3.5728088641653253	-3.8060031229135944	-4.009949917695961	-3.6950032905656465	0.5194836046014513	52
ACA	5	post	-4.033756022550622	-4.937193393707275	-3.5822699556545334	-3.7040364158396817	-3.7543203782062142	-3.6970846263729795	0.44988472972597393	52
ACA	5	pre	-4.136894663985895	-4.933498961584909	-3.5772893866714166	-3.704112646531086	-3.958682177018146	-3.6853625433785573	0.48741031544549124	53
ACA	5	post	-3.928589460801105	-4.950445141111102	-3.608026056873555	-3.704138809320878	-3.755237092777174	-3.6495121839095135	0.459139101359309	53
ACA	5	pre	-4.336744084650157	-4.97967327857504	-3.5773657049451555	-3.7042040581605873	-4.057133304829501	-3.701366444023288	0.5064710123198373	54
ACA	5	post	-3.8484867057021783	-4.953265939440046	-3.571240429975549	-3.703887637780637	-3.8061227701148206	-3.6496614534027723	0.4550634087348471	54
ACA	5	pre	-4.1614309914258065	-5.031699302245159	-3.57973067614497	-3.755194907285729	-3.8061821558037585	-3.644545029620735	0.4925937251168855	55
ACA	5	post	-4.046114289030736	-4.997331249470614	-3.6095560034927057	-3.754902917511609	-3.704189670329191	-3.6435939049234194	0.4812709166079151	55
ACA	5	pre	-4.313635563363834	-4.979569211298106	-3.5839429144956627	-3.7551238001609333	-4.05731200198738	-3.747110590642812	0.5205273050434736	56
ACA	5	post	-3.9257270949227467	-5.0308511792397015	-3.567106597277583	-3.7042946864147575	-3.8061608441021977	-3.6430524709273358	0.4768174375806536	56
ACA	5	pre	-4.14761276634372	-4.878228995264793	-3.5797130137073747	-3.7041657992771695	-3.856070109776088	-3.6987589573373603	0.48387106948969316	57
ACA	5	post	-3.8579875887656696	-4.935532195227487	-3.5658127580370222	-3.7040797788269666	-3.755056498002033	-3.6393202470273387	0.4764421819424143	57
ACA	5	pre	-4.138889448983329	-4.950804199491229	-3.576461509782441	-3.7039801247265873	-4.0077840746665485	-3.650001827551394	0.5039343152727399	58
ACA	5	post	-4.0871458394186835	-4.931314843041556	-3.5934256534187163	-3.7040609437592176	-3.856290136064802	-3.689451383084667	0.477355169398444	58
ACA	5	pre	-4.36158766065325	-5.030904064373094	-3.5750286773759488	-3.806285644064144	-4.15807276355977	-3.7457434011965383	0.5354349576697057	59
ACA	5	post	-4.0004260394037985	-4.92907588822501	-3.5789467899166807	-3.703629566698658	-3.9081710212084713	-3.6973625981077856	0.46209539685930523	59
ACA	5	pre	-4.23022783045866	-4.886938513541708	-3.5957101802436675	-3.704097042278368	-4.059964306500493	-3.7898732399453925	0.504579238745631	60
ACA	5	post	-3.9334210473663953	-5.001070606465243	-3.571489952048477	-3.704188755580357	-3.7549973799257863	-3.6514680336932748	0.46072046793237026	60
ACA	5	pre	-4.219506944928851	-4.980298762418785	-3.5772831148030804	-3.7040641064546547	-4.008136549774481	-3.6861712494674994	0.5013069960535789	61
ACA	5	post	-3.9939366408756802	-4.933661563055856	-3.601497445787702	-3.7040084916718152	-3.7544533865792413	-3.6525638054828256	0.48146289587020874	61
ACA	5	pre	-4.332473443478954	-4.939473458698817	-3.610290751165273	-3.7551015153223153	-4.061137316178303	-3.704051465404277	0.5200720429420471	62
ACA	5	post	-4.090351065810846	-4.8801141369099525	-3.5878974953476264	-3.704180659080038	-3.85719667162214	-3.704018597700158	0.44859044892447336	62
ACA	5	pre	-4.3987535408564975	-5.0306229494055925	-3.6143012728009904	-3.8062093939099992	-4.360667462251625	-3.854710510798863	0.5478226080232736	63
ACA	5	post	-3.9737816732756945	-4.878337694674122	-3.582429228996744	-3.75524615268318	-3.9080471992492676	-3.65288444441192	0.44492085430086875	63
ACA	5	pre	-4.352661502604582	-4.980737501261186	-3.5877670560564314	-3.7041261098822766	-4.059763071488361	-3.650982983258306	0.5147783196702296	64
ACA	5	post	-3.957591154137436	-4.907873883539317	-3.6076533064550285	-3.704115882211802	-3.754494131827841	-3.6394802794164542	0.4523843277473839	64
ACA	5	pre	-4.321883187002065	-4.8776668237180125	-3.607056277138846	-3.755114341268734	-4.101527632499227	-3.754432503057986	0.5175792556636187	65
ACA	5	post	-4.039272191573163	-4.939676080431257	-3.579026616349512	-3.704136425135087	-3.9078807830810547	-3.646272883123281	0.4681560470133411	65
ACA	5	pre	-4.3928810139091645	-4.929386172975812	-3.587135582554097	-3.704242297581264	-4.1782282420567105	-3.7542313556281885	0.5347936165576078	66
