	eta_DMN	group	n_subj	prepost
346	-4.167873946987853	RSC	9	pre
347	-3.90077712584515	RSC	9	post
348	-4.449522091417896	RSC	10	pre
349	-3.9636771630267704	RSC	10	post
350	-4.392200416448165	RSC	10	pre
351	-4.006718737738473	RSC	10	post
352	-4.33329336983817	RSC	10	pre
353	-3.9139301825542843	RSC	10	post
354	-4.1242875906885885	RSC	10	pre
355	-3.871924507374666	RSC	10	post
356	-4.175154685974121	RSC	10	pre
357	-3.896145908200011	RSC	10	post
358	-4.307787350245884	RSC	10	pre
359	-3.9411863599504744	RSC	10	post
360	-4.168314067684874	RSC	10	pre
361	-3.870036134914476	RSC	10	post
362	-4.1313863384480385	RSC	10	pre
363	-3.9152847893384037	RSC	10	post
364	-4.4162233313735655	RSC	10	pre
365	-4.009529026187196	RSC	10	post
366	-4.130636439031484	RSC	10	pre
367	-3.900105077393201	RSC	10	post
368	-4.210430816728241	RSC	10	pre
369	-3.8946478074910686	RSC	10	post
370	-4.355317704531611	RSC	10	pre
371	-3.92515813574499	RSC	10	post
372	-4.260299891841655	RSC	10	pre
373	-3.961269670603227	RSC	10	post
374	-4.296315587296778	RSC	10	pre
375	-3.9202344076974054	RSC	10	post
376	-4.3239869730813165	RSC	10	pre
377	-3.937729582494619	RSC	10	post
378	-4.401828045747719	RSC	10	pre
379	-3.8984068559140574	RSC	10	post
380	-4.396052360534668	RSC	10	pre
381	-3.97768463407244	RSC	10	post
382	-4.148452856102768	RSC	10	pre
383	-3.8679970089270146	RSC	10	post
384	-3.99293429510934	RSC	10	pre
385	-3.810532866692056	RSC	10	post
386	-4.251303127833775	RSC	10	pre
387	-3.962977633184316	RSC	10	post
388	-4.37468147277832	RSC	11	pre
389	-3.949643475668771	RSC	11	post
390	-4.23039216411357	RSC	11	pre
391	-3.8396850216145415	RSC	11	post
392	-4.395500820510241	RSC	11	pre
393	-3.9052029823770327	RSC	11	post
394	-4.299452927647804	RSC	11	pre
395	-3.8965171356590425	RSC	11	post
396	-4.348469276817477	RSC	11	pre
397	-3.934140906041982	RSC	11	post
398	-4.373215685085374	RSC	11	pre
