group,subject_id,ensemble,g,eta1,eta2,eta3,eta4,eta5,eta6
RSC,2,39,0.9022649,-4.6281357,-5.2204666,-5.316765,-4.879078,-5.8244796,-5.3046203
RSC,2,40,0.7223777,-4.2148347,-4.261048,-5.4912314,-4.179079,-5.649085,-3.8799894
RSC,2,41,0.9197963,-4.6882615,-5.204519,-4.848235,-5.231702,-5.2084775,-4.364815
RSC,2,42,0.47769827,-3.8847167,-4.7241225,-5.021394,-4.1177387,-4.8245482,-3.9223266
RSC,2,43,0.5583939,-4.2956977,-5.05971,-4.1475773,-3.5779216,-5.912615,-5.6510196
RSC,2,44,0.8425984,-4.573843,-4.645714,-5.658957,-4.807259,-4.199485,-5.9131093
RSC,2,45,0.7827105,-3.938308,-5.5849185,-5.161403,-4.7778234,-4.531077,-3.8256822
RSC,2,46,0.6542983,-3.5847635,-5.31778,-4.9674425,-4.2326336,-5.910102,-5.6361494
RSC,2,47,0.6533558,-4.3680696,-4.710972,-4.884097,-5.060955,-3.5353441,-4.9900293
RSC,2,48,0.8707114,-4.4934325,-5.4243097,-4.8048525,-4.1729,-5.9052744,-5.145731
RSC,2,49,0.73143154,-4.628242,-4.3038907,-5.944858,-3.884932,-4.6122775,-4.6294193
RSC,2,50,0.83458865,-4.1430364,-5.2683096,-4.125863,-5.4824333,-5.6666546,-5.207362
RSC,2,51,0.77726716,-4.2458615,-5.3010335,-4.958617,-4.769065,-5.451846,-5.1869397
RSC,2,52,0.7560836,-4.4615555,-4.8699856,-4.9984875,-5.0999126,-4.6394053,-5.658414
RSC,2,53,0.74217445,-4.372373,-5.4763355,-4.552568,-5.6401777,-4.6951075,-5.253856
RSC,2,54,0.6725419,-4.4905615,-4.511574,-5.966752,-4.338157,-5.9140296,-5.5179257
RSC,2,55,0.5202944,-4.578436,-4.6355567,-4.51203,-4.7295647,-4.2010517,-4.132482
RSC,2,56,0.74203354,-4.2232985,-4.992094,-5.3854227,-4.856248,-4.6081862,-3.6811824
RSC,2,57,0.76996034,-4.2969623,-5.214977,-5.554444,-4.75325,-4.144154,-4.9235764
RSC,2,58,0.6508351,-4.317066,-5.2847304,-5.00272,-4.3998375,-4.9464006,-4.4283514
